StockPrice,Price,Delta,Gamma,Vega
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,0,0,-0.235052,0
87,4.19834e-05,9.29149e-05,-0.331172,0.00483499
88,0.000302098,0.000464813,0.315836,0.021377
89,0.00128831,0.00180719,0.937688,0.084843
90,0.00505456,0.0065957,3.71399,0.289161
91,0.0172124,0.0197405,10.1688,0.788261
92,0.0512209,0.0519272,25.8271,1.81895
93,0.129702,0.109216,64.1193,3.34955
94,0.281728,0.19913,76.7345,5.24304
95,0.535451,0.310636,126.695,6.90653
96,0.904888,0.427387,209.536,7.91618
97,1.38942,0.53982,275.487,8.21629
98,1.98113,0.640421,360.081,7.9059
99,2.66319,0.720797,442.214,7.20774
100,3.41838,0.786636,521.868,6.27181
101,4.23192,0.838089,617.428,5.27186
102,5.09008,0.876504,696.474,4.33811
103,5.98175,0.90563,703.868,3.48489
104,6.89848,0.895695,793.432,-0.807301
105,7.82957,0.938553,787.696,1.81098
106,8.76294,1.0513,779.818,-3.67124
107,9.68731,1.04982,674.233,5.16714
108,10.549,0.888951,860.859,-9.62188
109,11.2735,1.01691,900.232,0.384913
110,11.7022,-0.560574,506.512,-116.174
111,11.6481,-0.90894,195.433,-52.4226
112,11.0516,-0.396591,-154.084,-62.8979
113,9.86081,-1.75589,-1112.63,-61.7566
114,8.35851,-1.99361,-421.804,-48.9135
115,6.61102,-0.565283,-341.54,-2.06049
116,4.92562,-1.53141,-36.2787,-30.4393
117,3.36922,-1.12248,-0.525349,35.729
118,2.05189,-1.07513,-775.818,0.830329
119,0.968984,-0.807563,-172.431,10.0623
